"#","Name","Type","VLAN","LLDP / CDP","Link","Current traffic","Total bytes","RSTP","Mirror"
"1","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"2","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"3","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"4","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"5","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"6","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"7","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"8","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"9","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"10","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"11","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"12","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"13","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"14","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"15","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"16","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"17","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"18","","Access","1","—","Auto negotiate","— sent, — received","—","Enabled",""
"19","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"20","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"21","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"22","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"23","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"24","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"25","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"26","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"27","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"28","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"29","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"30","","Access","50","—","Auto negotiate","— sent, — received","—","Enabled",""
"31","","Access","309","—","Auto negotiate","— sent, — received","—","Enabled",""
"32","","Access","309","—","Auto negotiate","— sent, — received","—","Enabled",""
"33","","Access","309","—","Auto negotiate","— sent, — received","—","Enabled",""
"34","","Access","309","—","Auto negotiate","— sent, — received","—","Enabled",""
"35","","Access","310","—","Auto negotiate","— sent, — received","—","Enabled",""
"36","","Access","310","—","Auto negotiate","— sent, — received","—","Enabled",""
"37","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""
"38","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""
"39","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""
"40","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""
"41","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""
"42","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""
"43","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""
"44","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""
"45","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""
"46","","Access","501","—","Auto negotiate","— sent, — received","—","Enabled",""
"47","","Trunk","native 1","—","Auto negotiate","— sent, — received","—","Enabled",""
"48","","Trunk","native 1","—","Auto negotiate","— sent, — received","—","Enabled",""
"49","","Trunk","native 1","—","Auto negotiate (10 Gbps)","100 kb/s sent, 50 kb/s received","1 GB","Forwarding",""
"50","","Trunk","native 1","—","Auto negotiate","— sent, — received","—","Enabled",""
"51","","Trunk","native 1","—","Auto negotiate","— sent, — received","—","Enabled",""
"52","","Trunk","native 1","—","Auto negotiate","— sent, — received","—","Enabled",""
"Dedicated stack port 1","CZOKR-IDF07-H3DressingRoomAccessPoE.141, Port 54","Stack","1","—","","1 mb/s sent, 1 mb/s received","10 GB","'-",""
"Dedicated stack port 2","CZOKR-IDF07-H3DressingRoomAccessPoE.141, Port 53","Stack","1","—","","1 mb/s sent, 1 mb/s received","10 GB","'-",""
